,id,State,US Region,No,Yes,Percentage That Said No
0,1.0,Alabama,East South Central,0.6,0.4,60.0
1,2.0,Alaska,Pacific,0.5614035087719298,0.43859649122807015,56.14
2,4.0,Arizona,Mountain,0.7777777777777778,0.2222222222222222,77.78
3,5.0,Arkansas,West South Central,0.5714285714285714,0.42857142857142855,57.14
4,6.0,California,Pacific,0.5614035087719298,0.43859649122807015,56.14
5,8.0,Colorado,Mountain,0.7777777777777778,0.2222222222222222,77.78
6,9.0,Connecticut,New England,0.6666666666666666,0.3333333333333333,66.67
7,10.0,Delaware,Middle Atlantic,0.5555555555555556,0.4444444444444444,55.56
8,11.0,District of Columbia,Middle Atlantic,0.5555555555555556,0.4444444444444444,55.56
9,12.0,Florida,South Atlantic,0.5974025974025974,0.4025974025974026,59.74
10,13.0,Georgia,South Atlantic,0.5974025974025974,0.4025974025974026,59.74
11,15.0,Hawaii,Pacific,0.5614035087719298,0.43859649122807015,56.14
12,16.0,Idaho,Pacific,0.5614035087719298,0.43859649122807015,56.14
13,17.0,Illinois,East North Central,0.6666666666666666,0.3333333333333333,66.67
14,18.0,Indiana,East North Central,0.6666666666666666,0.3333333333333333,66.67
15,19.0,Iowa,West North Central,0.525,0.475,52.5
16,20.0,Kansas,West North Central,0.525,0.475,52.5
17,21.0,Kentucky,East South Central,0.6,0.4,60.0
18,22.0,Louisiana,West South Central,0.5714285714285714,0.42857142857142855,57.14
19,23.0,Maine,New England,0.6666666666666666,0.3333333333333333,66.67
20,24.0,Maryland,Middle Atlantic,0.5555555555555556,0.4444444444444444,55.56
21,25.0,Massachusetts,New England,0.6666666666666666,0.3333333333333333,66.67
22,26.0,Michigan,East North Central,0.6666666666666666,0.3333333333333333,66.67
23,27.0,Minnesota,West North Central,0.525,0.475,52.5
24,28.0,Mississippi,East South Central,0.6,0.4,60.0
25,29.0,Missouri,West North Central,0.525,0.475,52.5
26,30.0,Montana,Mountain,0.7777777777777778,0.2222222222222222,77.78
27,31.0,Nebraska,West North Central,0.525,0.475,52.5
28,32.0,Nevada,Mountain,0.7777777777777778,0.2222222222222222,77.78
29,33.0,New Hampshire,New England,0.6666666666666666,0.3333333333333333,66.67
30,34.0,New Jersey,Middle Atlantic,0.5555555555555556,0.4444444444444444,55.56
31,35.0,New Mexico,Mountain,0.7777777777777778,0.2222222222222222,77.78
32,36.0,New York,Middle Atlantic,0.5555555555555556,0.4444444444444444,55.56
33,37.0,North Carolina,South Atlantic,0.5974025974025974,0.4025974025974026,59.74
34,38.0,North Dakota,West North Central,0.525,0.475,52.5
35,39.0,Ohio,East North Central,0.6666666666666666,0.3333333333333333,66.67
36,40.0,Oklahoma,West South Central,0.5714285714285714,0.42857142857142855,57.14
37,41.0,Oregon,Pacific,0.5614035087719298,0.43859649122807015,56.14
38,42.0,Pennsylvania,Middle Atlantic,0.5555555555555556,0.4444444444444444,55.56
39,44.0,Rhode Island,New England,0.6666666666666666,0.3333333333333333,66.67
40,45.0,South Carolina,South Atlantic,0.5974025974025974,0.4025974025974026,59.74
41,46.0,South Dakota,West North Central,0.525,0.475,52.5
42,47.0,Tennessee,East South Central,0.6,0.4,60.0
43,48.0,Texas,West South Central,0.5714285714285714,0.42857142857142855,57.14
44,49.0,Utah,Mountain,0.7777777777777778,0.2222222222222222,77.78
45,50.0,Vermont,New England,0.6666666666666666,0.3333333333333333,66.67
46,51.0,Virginia,South Atlantic,0.5974025974025974,0.4025974025974026,59.74
47,53.0,Washington,Pacific,0.5614035087719298,0.43859649122807015,56.14
48,54.0,West Virginia,South Atlantic,0.5974025974025974,0.4025974025974026,59.74
49,55.0,Wisconsin,East North Central,0.6666666666666666,0.3333333333333333,66.67
50,56.0,Wyoming,Mountain,0.7777777777777778,0.2222222222222222,77.78
