,id,State,US Region,No,Yes,Percentage That Said No
0,1.0,Alabama,East South Central,0.6190476190476191,0.38095238095238093,61.9
1,2.0,Alaska,Pacific,0.6857142857142857,0.3142857142857143,68.57
2,4.0,Arizona,Mountain,0.5925925925925926,0.4074074074074074,59.26
3,5.0,Arkansas,West South Central,0.6857142857142857,0.3142857142857143,68.57
4,6.0,California,Pacific,0.6857142857142857,0.3142857142857143,68.57
5,8.0,Colorado,Mountain,0.5925925925925926,0.4074074074074074,59.26
6,9.0,Connecticut,New England,0.7083333333333334,0.2916666666666667,70.83
7,10.0,Delaware,Middle Atlantic,0.7192982456140351,0.2807017543859649,71.93
8,11.0,District of Columbia,Middle Atlantic,0.7192982456140351,0.2807017543859649,71.93
9,12.0,Florida,South Atlantic,0.6571428571428571,0.34285714285714286,65.71
10,13.0,Georgia,South Atlantic,0.6571428571428571,0.34285714285714286,65.71
11,15.0,Hawaii,Pacific,0.6857142857142857,0.3142857142857143,68.57
12,16.0,Idaho,Pacific,0.6857142857142857,0.3142857142857143,68.57
13,17.0,Illinois,East North Central,0.6923076923076923,0.3076923076923077,69.23
14,18.0,Indiana,East North Central,0.6923076923076923,0.3076923076923077,69.23
15,19.0,Iowa,West North Central,0.6764705882352942,0.3235294117647059,67.65
16,20.0,Kansas,West North Central,0.6764705882352942,0.3235294117647059,67.65
17,21.0,Kentucky,East South Central,0.6190476190476191,0.38095238095238093,61.9
18,22.0,Louisiana,West South Central,0.6857142857142857,0.3142857142857143,68.57
19,23.0,Maine,New England,0.7083333333333334,0.2916666666666667,70.83
20,24.0,Maryland,Middle Atlantic,0.7192982456140351,0.2807017543859649,71.93
21,25.0,Massachusetts,New England,0.7083333333333334,0.2916666666666667,70.83
22,26.0,Michigan,East North Central,0.6923076923076923,0.3076923076923077,69.23
23,27.0,Minnesota,West North Central,0.6764705882352942,0.3235294117647059,67.65
24,28.0,Mississippi,East South Central,0.6190476190476191,0.38095238095238093,61.9
25,29.0,Missouri,West North Central,0.6764705882352942,0.3235294117647059,67.65
26,30.0,Montana,Mountain,0.5925925925925926,0.4074074074074074,59.26
27,31.0,Nebraska,West North Central,0.6764705882352942,0.3235294117647059,67.65
28,32.0,Nevada,Mountain,0.5925925925925926,0.4074074074074074,59.26
29,33.0,New Hampshire,New England,0.7083333333333334,0.2916666666666667,70.83
30,34.0,New Jersey,Middle Atlantic,0.7192982456140351,0.2807017543859649,71.93
31,35.0,New Mexico,Mountain,0.5925925925925926,0.4074074074074074,59.26
32,36.0,New York,Middle Atlantic,0.7192982456140351,0.2807017543859649,71.93
33,37.0,North Carolina,South Atlantic,0.6571428571428571,0.34285714285714286,65.71
34,38.0,North Dakota,West North Central,0.6764705882352942,0.3235294117647059,67.65
35,39.0,Ohio,East North Central,0.6923076923076923,0.3076923076923077,69.23
36,40.0,Oklahoma,West South Central,0.6857142857142857,0.3142857142857143,68.57
37,41.0,Oregon,Pacific,0.6857142857142857,0.3142857142857143,68.57
38,42.0,Pennsylvania,Middle Atlantic,0.7192982456140351,0.2807017543859649,71.93
39,44.0,Rhode Island,New England,0.7083333333333334,0.2916666666666667,70.83
40,45.0,South Carolina,South Atlantic,0.6571428571428571,0.34285714285714286,65.71
41,46.0,South Dakota,West North Central,0.6764705882352942,0.3235294117647059,67.65
42,47.0,Tennessee,East South Central,0.6190476190476191,0.38095238095238093,61.9
43,48.0,Texas,West South Central,0.6857142857142857,0.3142857142857143,68.57
44,49.0,Utah,Mountain,0.5925925925925926,0.4074074074074074,59.26
45,50.0,Vermont,New England,0.7083333333333334,0.2916666666666667,70.83
46,51.0,Virginia,South Atlantic,0.6571428571428571,0.34285714285714286,65.71
47,53.0,Washington,Pacific,0.6857142857142857,0.3142857142857143,68.57
48,54.0,West Virginia,South Atlantic,0.6571428571428571,0.34285714285714286,65.71
49,55.0,Wisconsin,East North Central,0.6923076923076923,0.3076923076923077,69.23
50,56.0,Wyoming,Mountain,0.5925925925925926,0.4074074074074074,59.26
