,id,State,US Region,No,Yes,Percentage That Said No
0,1.0,Alabama,East South Central,0.44680851063829785,0.5531914893617021,44.68
1,2.0,Alaska,Pacific,0.5444444444444444,0.45555555555555555,54.44
2,4.0,Arizona,Mountain,0.44047619047619047,0.5595238095238095,44.05
3,5.0,Arkansas,West South Central,0.4818181818181818,0.5181818181818182,48.18
4,6.0,California,Pacific,0.5444444444444444,0.45555555555555555,54.44
5,8.0,Colorado,Mountain,0.44047619047619047,0.5595238095238095,44.05
6,9.0,Connecticut,New England,0.5185185185185185,0.48148148148148145,51.85
7,10.0,Delaware,Middle Atlantic,0.4180327868852459,0.5819672131147541,41.8
8,11.0,District of Columbia,Middle Atlantic,0.4180327868852459,0.5819672131147541,41.8
9,12.0,Florida,South Atlantic,0.46715328467153283,0.5328467153284672,46.72
10,13.0,Georgia,South Atlantic,0.46715328467153283,0.5328467153284672,46.72
11,15.0,Hawaii,Pacific,0.5444444444444444,0.45555555555555555,54.44
12,16.0,Idaho,Pacific,0.5444444444444444,0.45555555555555555,54.44
13,17.0,Illinois,East North Central,0.5251396648044693,0.4748603351955307,52.51
14,18.0,Indiana,East North Central,0.5251396648044693,0.4748603351955307,52.51
15,19.0,Iowa,West North Central,0.5375,0.4625,53.75
16,20.0,Kansas,West North Central,0.5375,0.4625,53.75
17,21.0,Kentucky,East South Central,0.44680851063829785,0.5531914893617021,44.68
18,22.0,Louisiana,West South Central,0.4818181818181818,0.5181818181818182,48.18
19,23.0,Maine,New England,0.5185185185185185,0.48148148148148145,51.85
20,24.0,Maryland,Middle Atlantic,0.4180327868852459,0.5819672131147541,41.8
21,25.0,Massachusetts,New England,0.5185185185185185,0.48148148148148145,51.85
22,26.0,Michigan,East North Central,0.5251396648044693,0.4748603351955307,52.51
23,27.0,Minnesota,West North Central,0.5375,0.4625,53.75
24,28.0,Mississippi,East South Central,0.44680851063829785,0.5531914893617021,44.68
25,29.0,Missouri,West North Central,0.5375,0.4625,53.75
26,30.0,Montana,Mountain,0.44047619047619047,0.5595238095238095,44.05
27,31.0,Nebraska,West North Central,0.5375,0.4625,53.75
28,32.0,Nevada,Mountain,0.44047619047619047,0.5595238095238095,44.05
29,33.0,New Hampshire,New England,0.5185185185185185,0.48148148148148145,51.85
30,34.0,New Jersey,Middle Atlantic,0.4180327868852459,0.5819672131147541,41.8
31,35.0,New Mexico,Mountain,0.44047619047619047,0.5595238095238095,44.05
32,36.0,New York,Middle Atlantic,0.4180327868852459,0.5819672131147541,41.8
33,37.0,North Carolina,South Atlantic,0.46715328467153283,0.5328467153284672,46.72
34,38.0,North Dakota,West North Central,0.5375,0.4625,53.75
35,39.0,Ohio,East North Central,0.5251396648044693,0.4748603351955307,52.51
36,40.0,Oklahoma,West South Central,0.4818181818181818,0.5181818181818182,48.18
37,41.0,Oregon,Pacific,0.5444444444444444,0.45555555555555555,54.44
38,42.0,Pennsylvania,Middle Atlantic,0.4180327868852459,0.5819672131147541,41.8
39,44.0,Rhode Island,New England,0.5185185185185185,0.48148148148148145,51.85
40,45.0,South Carolina,South Atlantic,0.46715328467153283,0.5328467153284672,46.72
41,46.0,South Dakota,West North Central,0.5375,0.4625,53.75
42,47.0,Tennessee,East South Central,0.44680851063829785,0.5531914893617021,44.68
43,48.0,Texas,West South Central,0.4818181818181818,0.5181818181818182,48.18
44,49.0,Utah,Mountain,0.44047619047619047,0.5595238095238095,44.05
45,50.0,Vermont,New England,0.5185185185185185,0.48148148148148145,51.85
46,51.0,Virginia,South Atlantic,0.46715328467153283,0.5328467153284672,46.72
47,53.0,Washington,Pacific,0.5444444444444444,0.45555555555555555,54.44
48,54.0,West Virginia,South Atlantic,0.46715328467153283,0.5328467153284672,46.72
49,55.0,Wisconsin,East North Central,0.5251396648044693,0.4748603351955307,52.51
50,56.0,Wyoming,Mountain,0.44047619047619047,0.5595238095238095,44.05
